variante,desconto,horizonte,seed,n_check,ok_check,disc_m,tot_m,hit,hit_tot,sum_n_hit,disc_u_fam,tot_u_fam,disc_u_sac,tot_u_sac,n_dec,sum_n_dec
uni,0.90,4,7,947156,947156,2832177,14073146,467795,789082,4935326,2656069,8202163,2405116,5870983,789082,4935326
uni,0.90,4,8,814349,814349,2300441,13183288,422472,676882,4419507,2009839,7111884,2303222,6071404,676882,4419507
uni,0.90,8,1,661895,661895,1901122,11502822,360279,549320,3720561,860923,2634037,3183181,8868785,549320,3720561
uni,0.90,8,2,794332,794332,2247070,12298537,413299,660689,4218238,1033808,2878550,3638571,9419987,660689,4218238
uni,0.90,8,3,959735,959735,2996832,15721625,498395,798025,5265828,1237854,3288689,4990396,12432936,798025,5265828
uni,0.90,8,4,728897,728897,2150072,12673911,390381,605193,4106299,1040014,3037248,3498412,9636663,605193,4106299
uni,0.90,8,5,879680,879680,2659346,14046665,454758,731384,4761512,1175933,3134492,4341768,10912173,731384,4761512
uni,0.90,8,6,965995,965995,2687651,13705355,488116,802847,4897194,1324084,3523142,4054857,10182213,802847,4897194
uni,0.90,8,7,934181,934181,2649809,13402225,474701,777116,4782281,1065059,2799507,4273574,10602718,777116,4782281
uni,0.90,8,8,798948,798948,2188230,12323391,420209,664315,4226288,1031165,2933379,3542920,9390012,664315,4226288
uni,0.95,12,1,638246,638246,1925397,10680689,331206,523262,3503232,585953,1538610,3477302,9142079,523262,3503232
uni,0.95,12,2,771736,771736,2235359,11581240,389601,635888,4026200,619124,1537530,4080398,10043710,635888,4026200
uni,0.95,12,3,943426,943426,3035573,15044057,469652,776247,5078055,1159802,2838290,5081232,12205767,776247,5078055
uni,0.95,12,4,703979,703979,2166815,11787714,357793,576972,3872248,911903,2330016,3631741,9457698,576972,3872248
uni,0.95,12,5,858678,858678,2644684,13309781,430732,707014,4557921,770958,1880175,4765169,11429606,707014,4557921
uni,0.95,12,6,944816,944816,2709411,12962467,457554,776890,4691796,897421,2188249,4467308,10774218,776890,4691796
uni,0.95,12,7,911268,911268,2645107,12649148,445186,750182,4572758,923531,2266374,4371327,10382774,750182,4572758
uni,0.95,12,8,772766,772766,2169546,11443902,390033,633748,3986708,738143,1883934,3805543,9559968,633748,3986708
uni,0.95,4,1,673922,673922,2117074,12162521,339517,560395,3872264,1550536,5809242,2317513,6353279,560395,3872264
uni,0.95,4,2,809315,809315,2587900,13018776,389001,673668,4387580,1779577,5884959,2817788,7133817,673668,4387580
uni,0.95,4,3,969083,969083,3485911,16398749,456337,807088,5416804,3085401,8987806,3014377,7410943,807088,5416804
uni,0.95,4,4,740967,740967,2397074,13347460,367471,616201,4258735,1734993,6207229,2619777,7140231,616201,4258735
uni,0.95,4,5,891233,891233,3092852,14838455,423310,741682,4937915,2356168,7092166,3131165,7746289,741682,4937915
uni,0.95,4,6,978186,978186,3115592,14307273,459928,813195,5037581,2482768,7563026,2787922,6744247,813195,5037581
uni,0.95,4,7,944473,944473,3114205,14076835,442032,785808,4930953,2623032,7753696,2617465,6323139,785808,4930953
uni,0.95,4,8,812913,812913,2516139,13086257,395096,676369,4399364,1885810,6381617,2556367,6704640,676369,4399364
uni,0.95,8,1,655604,655604,2100276,11326593,340245,544718,3680160,675131,1858189,3522575,9468404,544718,3680160
uni,0.95,8,2,790770,790770,2410291,12017216,398039,658174,4158096,730364,1883828,4057451,10133388,658174,4158096
uni,0.95,8,3,955307,955307,3297355,15485767,475247,794930,5213230,839079,2095782,5590972,13389985,794930,5213230
uni,0.95,8,4,722884,722884,2341239,12469633,370444,600398,4057207,769519,2036950,3942026,10432683,600398,4057207
uni,0.95,8,5,874696,874696,2893129,13872762,435739,727963,4719938,698643,1734526,5007105,12138236,727963,4719938
uni,0.95,8,6,960571,960571,2903321,13528071,470277,798714,4853930,945345,2338907,4614312,11189164,798714,4853930
uni,0.95,8,7,927928,927928,2847223,13176810,457827,772659,4730859,854027,2109345,4623040,11067465,772659,4730859
uni,0.95,8,8,791787,791787,2359569,12102934,401581,658016,4171245,762668,2014272,3930534,10088662,658016,4171245
