cond,seed,ticks,pop_fim,phi_ini,phi_fim,ag_ini,ag_fim,ac_ini,ac_fim,esp_ini,esp_fim,hor_ini,hor_fim,hon_fim,blef_fim,corr_full,corr_3k
ctl,46,29999,321,0.056352,0.008713,0.464929,0.056060,0.093633,0.200233,2.760381,0.101170,6.775199,10.257423,0.903040,0.085927,0.9817,0.5952
ctl,47,29999,244,0.055498,0.008893,0.461342,0.051587,0.088776,0.223527,2.917445,0.089927,6.639142,4.019267,0.937823,0.048440,0.8998,0.5020
ctl,48,29999,244,0.048794,0.008563,0.458673,0.056590,0.077886,0.199083,2.909943,0.104653,6.888146,8.630477,0.891167,0.098953,0.9777,0.6552
ctl,49,29999,307,0.053883,0.007193,0.454142,0.052347,0.089954,0.206077,2.740676,0.096457,7.388060,6.037857,0.920373,0.060320,0.6633,0.5758
ctl,50,29999,282,0.055217,0.009090,0.459883,0.053360,0.098968,0.210113,2.955235,0.104970,7.122662,4.658067,0.921553,0.054747,0.9267,0.6517
fesp,1,29999,218,0.055039,0.066513,0.474178,0.472530,0.094456,0.151187,3.000000,3.000000,7.678260,10.300197,0.782630,0.176233,0.1674,0.4159
fesp,2,29999,260,0.054214,0.070520,0.484516,0.481397,0.095744,0.165740,3.000000,3.000000,7.727854,10.859520,0.824720,0.130447,0.2028,0.6267
fesp,3,29999,319,0.052804,0.063477,0.502751,0.493707,0.088071,0.128587,3.000000,3.000000,6.638694,8.508987,0.895523,0.080033,0.1036,0.6044
fesp,4,29999,248,0.052174,0.066350,0.477246,0.463917,0.090907,0.142930,3.000000,3.000000,7.601367,9.165167,0.850523,0.092670,0.2116,0.5883
fesp,5,29999,291,0.055801,0.068333,0.501082,0.488197,0.093192,0.144080,3.000000,3.000000,6.755270,9.361890,0.836830,0.125500,0.1719,0.4423
fesp,6,29999,323,0.046762,0.061273,0.465975,0.450450,0.079548,0.137870,3.000000,3.000000,7.184281,10.030733,0.832747,0.131880,0.3072,0.5588
fesp,7,29999,318,0.049181,0.060187,0.489804,0.462380,0.081107,0.137233,3.000000,3.000000,7.711833,10.183207,0.816083,0.145287,0.2123,0.5909
fesp,8,29999,271,0.052050,0.067507,0.464879,0.473103,0.084797,0.152923,3.000000,3.000000,7.003601,10.385410,0.863423,0.110563,0.3111,0.6284
fesp,9,29999,344,0.054267,0.070393,0.489238,0.480950,0.095484,0.158267,3.000000,3.000000,7.057021,10.239127,0.804037,0.154257,0.2972,0.5952
fesp,10,29999,283,0.052758,0.067130,0.487384,0.469613,0.084548,0.141343,3.000000,3.000000,6.796199,9.203983,0.846480,0.120393,0.2264,0.5905
fesp,11,29999,305,0.051527,0.065920,0.499445,0.477640,0.090103,0.138673,3.000000,3.000000,7.457534,9.619863,0.767850,0.189693,0.1898,0.6657
fesp,12,29999,292,0.049438,0.065977,0.488292,0.473683,0.081114,0.151573,3.000000,3.000000,6.476317,9.660523,0.811620,0.124187,0.2140,0.6328
fesp,13,29999,272,0.054776,0.066163,0.489057,0.476413,0.091132,0.138217,3.000000,3.000000,7.216769,9.649477,0.793110,0.180960,0.2193,0.4908
fesp,14,29999,206,0.051996,0.059393,0.457947,0.450470,0.090630,0.146203,3.000000,3.000000,6.955434,8.556223,0.834267,0.108453,0.1833,0.2035
fesp,15,29999,331,0.050694,0.068570,0.494865,0.479713,0.082947,0.149607,3.000000,3.000000,7.122765,10.185250,0.858327,0.104917,0.2849,0.6239
fesp,16,29999,247,0.047534,0.053490,0.483153,0.497423,0.077701,0.122463,3.000000,3.000000,6.492715,10.018260,0.823827,0.116893,0.1192,0.4752
fesp,17,29999,311,0.053509,0.068850,0.499320,0.464957,0.089964,0.142300,3.000000,3.000000,7.408406,10.053880,0.837360,0.126740,0.2416,0.5273
fesp,18,29999,271,0.052431,0.065793,0.497384,0.476273,0.088064,0.138210,3.000000,3.000000,6.862705,8.819237,0.822923,0.154060,0.1848,0.4425
fesp,19,29999,276,0.050815,0.068117,0.489128,0.476363,0.083100,0.145193,3.000000,3.000000,6.307171,8.850507,0.923030,0.037870,0.3291,0.5615
fesp,20,29999,307,0.054285,0.068073,0.489637,0.482030,0.089911,0.162930,3.000000,3.000000,6.974911,10.454477,0.845187,0.108963,0.0923,0.6250
fesp,21,29999,322,0.051288,0.070360,0.484733,0.480333,0.083644,0.168633,3.000000,3.000000,6.896765,10.361250,0.752927,0.203953,0.3918,0.7045
fesp,22,29999,281,0.051630,0.068583,0.482822,0.464713,0.087189,0.153737,3.000000,3.000000,7.301110,9.933763,0.827510,0.137597,0.3460,0.5981
fesp,23,29999,294,0.054206,0.070463,0.483708,0.474977,0.090580,0.163417,3.000000,3.000000,7.281790,9.893507,0.865373,0.108103,0.1664,0.5778
fesp,24,29999,316,0.048075,0.064197,0.495473,0.488323,0.075502,0.149197,3.000000,3.000000,6.790082,10.885910,0.855763,0.102863,0.2234,0.6918
fesp,25,29999,325,0.049221,0.064930,0.465705,0.454310,0.092338,0.149797,3.000000,3.000000,7.505872,10.093197,0.802177,0.168810,0.3678,0.6158
fesp,26,29999,246,0.052060,0.067070,0.465530,0.464730,0.090110,0.154743,3.000000,3.000000,7.015313,9.440383,0.810910,0.155370,0.2223,0.5824
fesp,27,29999,269,0.049804,0.060763,0.479174,0.456307,0.080480,0.156210,3.000000,3.000000,6.981601,9.435903,0.826900,0.133650,0.2517,0.4809
fesp,28,29999,307,0.049641,0.068010,0.504843,0.492417,0.084772,0.143197,3.000000,3.000000,7.010075,9.721113,0.843277,0.105177,0.2344,0.6311
fesp,29,29999,360,0.050345,0.068587,0.479641,0.464807,0.083993,0.153877,3.000000,3.000000,6.937406,8.683040,0.827207,0.144460,0.4251,0.6218
fesp,30,29999,270,0.054331,0.065480,0.470057,0.455777,0.094267,0.139020,3.000000,3.000000,7.406954,9.607097,0.838617,0.109737,0.2781,0.6460
fesp,31,29999,237,0.051989,0.069770,0.472740,0.453630,0.092875,0.155447,3.000000,3.000000,6.533737,8.479137,0.820980,0.143533,0.2747,0.5593
fesp,32,29999,269,0.052331,0.066193,0.495142,0.475070,0.091544,0.147240,3.000000,3.000000,7.273488,9.512983,0.783583,0.192160,0.1611,0.5068
fesp,33,29999,324,0.050093,0.067750,0.505199,0.489797,0.077505,0.156680,3.000000,3.000000,6.173940,10.317803,0.803510,0.156680,0.2433,0.6829
fesp,34,29999,265,0.053434,0.068897,0.482317,0.466833,0.087797,0.146573,3.000000,3.000000,6.502989,8.319237,0.829710,0.131893,0.2266,0.5204
fesp,35,29999,366,0.049523,0.069300,0.484103,0.467390,0.083530,0.153297,3.000000,3.000000,6.893722,9.698013,0.783697,0.172510,0.4091,0.5888
fesp,36,29999,217,0.050573,0.059440,0.453039,0.459423,0.085374,0.118423,3.000000,3.000000,6.741342,8.960583,0.861407,0.127373,0.2118,0.4577
fesp,37,29999,355,0.051324,0.069257,0.487851,0.473327,0.092520,0.166880,3.000000,3.000000,7.361680,10.286397,0.810573,0.151113,0.2729,0.6548
fesp,38,29999,286,0.052587,0.067707,0.499765,0.480287,0.087598,0.148960,3.000000,3.000000,6.750601,9.268520,0.805683,0.147497,0.2663,0.4544
fesp,39,29999,233,0.055367,0.073733,0.483705,0.480193,0.093804,0.167300,3.000000,3.000000,6.809021,8.985967,0.873523,0.096110,0.3236,0.5596
fesp,40,29999,333,0.051719,0.067160,0.475313,0.464843,0.089676,0.149507,3.000000,3.000000,6.680267,9.797757,0.786890,0.167077,0.2294,0.6028
fesp,41,29999,315,0.052053,0.065827,0.488879,0.469880,0.090231,0.124633,3.000000,3.000000,6.966004,9.243627,0.833790,0.139957,0.2070,0.4083
fesp,42,29999,286,0.056153,0.069633,0.477171,0.464020,0.095879,0.163540,3.000000,3.000000,6.787712,9.507257,0.754427,0.196850,0.1789,0.5573
fesp,43,29999,280,0.053907,0.065963,0.487363,0.478300,0.093114,0.152890,3.000000,3.000000,7.377854,10.093743,0.859713,0.098543,0.1394,0.6353
fesp,44,29999,239,0.052103,0.064830,0.475324,0.461453,0.094292,0.149663,3.000000,3.000000,7.665018,9.998003,0.829710,0.113303,0.1930,0.4872
fesp,45,29999,292,0.053135,0.062737,0.493964,0.488943,0.088214,0.133480,3.000000,3.000000,7.646875,10.062740,0.837083,0.127157,0.2096,0.4540
