cond,seed,ticks,pop_fim,mod_med,mod_max,ag_med,ag_max,mo_med,mo_max,phi_med,phi_max,rel_med,rel_max,ac_med,ac_max,ac_ini,ac_fim,ag_ini,ag_fim,hor_ini,hor_fim,hon_fim,blef_fim,ag_pares,ag_dif,ag_dif_f32so,ag_dif_dblso
ctl,26,2999,246,0.617205,1.000000,0.426304,0.559000,0.245711,0.413000,0.066227,0.089000,0.634914,0.789000,0.133278,0.250000,0.097609,0.152853,0.455018,0.417037,7.146751,9.338557,0.771533,0.144987,737974,0,0,0
ctl,27,2999,269,0.622000,1.000000,0.411982,0.566000,0.250918,0.411000,0.063484,0.085000,0.635075,0.769000,0.131347,0.433000,0.088320,0.149827,0.453025,0.394637,6.985843,9.029360,0.762870,0.150553,816963,0,0,0
ctl,28,2999,306,0.628062,1.000000,0.434103,0.566000,0.258034,0.371000,0.070352,0.089000,0.633400,0.775000,0.142805,0.300000,0.089904,0.164190,0.474822,0.408093,7.117840,9.338310,0.756393,0.126990,930038,0,0,0
ctl,29,2999,368,0.641441,1.000000,0.418272,0.562000,0.321754,0.476000,0.063161,0.082000,0.616421,0.734000,0.135595,0.417000,0.083516,0.158233,0.465630,0.393037,7.082819,9.454460,0.761200,0.125863,1095850,0,0,0
ctl,30,2999,270,0.624123,1.000000,0.443612,0.577000,0.215231,0.341000,0.066346,0.090000,0.625961,0.769000,0.135896,0.350000,0.097046,0.148797,0.455890,0.441607,7.479505,9.526717,0.723540,0.189240,817035,0,0,0
ctl,31,2999,250,0.601742,1.000000,0.439942,0.578000,0.210818,0.358000,0.066050,0.088000,0.637367,0.794000,0.137665,0.417000,0.094836,0.146240,0.459416,0.439260,6.454146,9.038167,0.693657,0.246460,741495,0,0,0
ctl,32,2999,263,0.619262,1.000000,0.414117,0.577000,0.226229,0.383000,0.067673,0.088000,0.631144,0.761000,0.140370,0.283000,0.098932,0.154870,0.471221,0.385173,7.323157,9.689240,0.759850,0.165163,808334,1,1,0
ctl,33,2999,329,0.636665,1.000000,0.442261,0.599000,0.305360,0.448000,0.068358,0.086000,0.627407,0.749000,0.146931,0.367000,0.082680,0.172007,0.491626,0.413890,6.113028,9.606193,0.745223,0.172697,983986,0,0,0
ctl,34,2999,269,0.623204,1.000000,0.436350,0.563000,0.216419,0.345000,0.066625,0.088000,0.653774,0.773000,0.128643,0.250000,0.095448,0.150167,0.466228,0.416810,6.755605,7.219297,0.758697,0.165087,810069,0,0,0
ctl,35,2999,358,0.655820,1.000000,0.304413,0.571000,0.399755,0.577000,0.045789,0.074000,0.602506,0.721000,0.154360,0.433000,0.088900,0.190580,0.463769,0.185217,6.665356,5.600887,0.875073,0.074400,1100448,0,0,0
ctl,36,2999,204,0.612223,1.000000,0.381683,0.550000,0.197185,0.359000,0.064433,0.088000,0.646162,0.801000,0.125993,0.317000,0.094178,0.160077,0.427441,0.351183,6.632100,7.696917,0.798043,0.141627,629293,0,0,0
ctl,37,2999,355,0.641277,1.000000,0.404950,0.556000,0.349506,0.518000,0.061969,0.080000,0.620744,0.735000,0.143974,0.450000,0.093601,0.171000,0.465395,0.360890,7.369406,9.342633,0.811500,0.121350,1070686,0,0,0
ctl,38,2999,294,0.633114,1.000000,0.434633,0.560000,0.229831,0.384000,0.067147,0.086000,0.635638,0.746000,0.137167,0.317000,0.091402,0.166637,0.476673,0.401820,6.761851,8.437140,0.754263,0.141943,872684,0,0,0
ctl,39,2999,227,0.624288,1.000000,0.408888,0.556000,0.244300,0.404000,0.066279,0.085000,0.638156,0.781000,0.145167,0.367000,0.099007,0.182887,0.459381,0.354847,6.571345,8.213193,0.792237,0.137140,703202,0,0,0
ctl,40,2999,345,0.629194,1.000000,0.432022,0.549000,0.300760,0.442000,0.065120,0.084000,0.624578,0.743000,0.138446,0.350000,0.091847,0.150277,0.460032,0.414137,6.769886,9.461113,0.673353,0.220807,1015539,0,0,0
ctl,41,2999,313,0.641039,1.000000,0.417886,0.554000,0.271175,0.423000,0.065120,0.085000,0.634397,0.770000,0.133494,0.400000,0.090135,0.151487,0.462093,0.390490,6.983174,8.594027,0.771640,0.167647,946511,0,0,0
ctl,42,2999,283,0.628751,1.000000,0.404887,0.555000,0.302214,0.444000,0.068676,0.087000,0.615903,0.801000,0.153285,0.433000,0.096612,0.169537,0.457932,0.389537,6.808000,9.356997,0.649843,0.318910,855097,0,0,0
ctl,43,2999,278,0.627562,1.000000,0.435924,0.575000,0.238743,0.388000,0.066142,0.086000,0.635629,0.766000,0.131709,0.417000,0.097829,0.156800,0.481007,0.401007,7.229007,7.596237,0.777777,0.117537,854544,0,0,0
ctl,44,2999,247,0.615045,1.000000,0.365150,0.567000,0.276636,0.441000,0.059066,0.081000,0.635117,0.802000,0.156696,0.333000,0.097555,0.190593,0.462968,0.287073,7.644363,6.515740,0.808997,0.113450,736291,1,1,0
ctl,45,2999,291,0.637099,0.971000,0.417320,0.584000,0.259950,0.428000,0.065550,0.087000,0.621595,0.768000,0.144995,0.400000,0.086815,0.173893,0.466698,0.383207,7.436349,9.335220,0.720150,0.187720,857302,0,0,0
ctl,46,2999,309,0.625304,1.000000,0.427371,0.551000,0.294087,0.418000,0.067244,0.085000,0.635364,0.757000,0.139582,0.333000,0.093633,0.156133,0.464929,0.414367,6.775199,8.917110,0.799213,0.123833,944237,0,0,0
ctl,47,2999,244,0.617177,1.000000,0.422698,0.567000,0.224541,0.405000,0.065451,0.084000,0.648840,0.799000,0.126990,0.367000,0.088776,0.163263,0.461342,0.371597,6.639142,7.520263,0.793160,0.162047,732586,1,1,0
ctl,48,2999,232,0.626975,0.933000,0.425612,0.574000,0.260670,0.469000,0.061851,0.083000,0.632195,0.789000,0.126250,0.517000,0.077886,0.170023,0.458673,0.389747,6.888146,9.799593,0.738867,0.171030,719000,0,0,0
ctl,49,2999,307,0.630128,1.000000,0.425370,0.566000,0.289136,0.442000,0.066153,0.086000,0.639366,0.757000,0.138364,0.417000,0.089954,0.147943,0.454142,0.413027,7.388060,8.934323,0.815353,0.137913,911484,0,0,0
ctl,50,2999,282,0.626276,0.971000,0.432676,0.564000,0.256509,0.413000,0.067280,0.085000,0.634331,0.758000,0.139881,0.433000,0.098968,0.159930,0.459883,0.415333,7.122662,9.062097,0.725610,0.191230,847251,0,0,0
erem,1,2999,213,0.793066,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005275,0.708000,0.025656,0.400000,0.043103,0.017277,0.000000,0.000000,5.771591,2.217320,0.382203,0.340880,643166,0,0,0
erem,2,2999,264,0.780257,1.000000,0.000003,0.004000,0.000000,0.000000,0.000000,0.000000,0.004995,0.695000,0.025635,0.567000,0.039968,0.023410,0.000000,0.000000,5.118872,2.886393,0.418170,0.301670,777749,2,2,0
erem,3,2999,308,0.775432,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003850,0.278000,0.029794,0.450000,0.041192,0.023893,0.000000,0.000000,5.451160,3.167490,0.344240,0.320860,936983,0,0,0
erem,4,2999,235,0.790724,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003892,0.566000,0.027654,0.367000,0.045790,0.020057,0.000000,0.000000,5.900925,3.223647,0.262867,0.312660,707541,0,0,0
