desconto,seed,h_res,h_inv,freq_inv,hor_m,pop_fim,status
0.95,7,8,9,0.0501,8.0501,312.4,ok
0.95,8,8,9,0.0596,8.0596,263.8,ok
0.95,1,9,8,0.2128,8.7872,217.7,ok
0.95,2,9,8,0.1290,8.8710,260.5,ok
0.95,3,9,8,0.2149,8.7851,317.8,ok
0.95,4,9,8,0.3326,8.6674,244.3,ok
0.95,5,9,8,0.1675,8.8325,290.6,ok
0.95,6,9,8,0.1873,8.8127,317.1,ok
0.95,7,9,8,0.1311,8.8689,310.6,ok
0.95,8,9,8,0.3045,8.6955,264.0,ok
0.96,1,10,7,0.6343,8.0972,219.9,ok
0.96,2,10,7,0.4031,8.7907,266.1,ok
0.96,3,10,7,0.5469,8.3593,316.0,ok
0.96,4,10,7,0.6382,8.0854,242.7,ok
0.96,5,10,7,0.5266,8.4203,289.7,ok
0.96,6,10,7,0.4182,8.7455,321.3,ok
0.96,7,10,7,0.4096,8.7713,309.6,ok
0.96,8,10,7,0.5201,8.4397,264.7,ok
0.96,1,12,7,0.7917,8.0414,220.0,ok
0.96,2,12,7,0.6080,8.9598,262.1,ok
0.96,3,12,7,0.7570,8.2149,315.6,ok
0.96,4,12,7,0.7071,8.4643,242.8,ok
0.96,5,12,7,0.6930,8.5349,291.8,ok
0.96,6,12,7,0.5632,9.1840,322.6,ok
0.96,7,12,7,0.5804,9.0979,307.6,ok
0.96,8,12,7,0.6107,8.9463,265.9,ok
0.96,1,1,7,1.0000,7.0000,220.6,ok
0.96,2,1,7,1.0000,7.0000,267.9,ok
0.96,3,1,7,0.9693,6.8159,317.9,ok
0.96,4,1,7,0.9958,6.9750,240.6,ok
0.96,5,1,7,1.0000,7.0000,291.0,ok
0.96,6,1,7,1.0000,7.0000,324.2,ok
0.96,7,1,7,0.9904,6.9423,312.7,ok
0.96,8,1,7,1.0000,7.0000,268.6,ok
0.96,1,4,7,0.5477,5.6430,222.0,ok
0.96,2,4,7,0.4973,5.4918,269.6,ok
0.96,3,4,7,0.2237,4.6710,322.4,ok
0.96,4,4,7,0.5338,5.6013,241.5,ok
0.96,5,4,7,0.3831,5.1493,296.5,ok
0.96,6,4,7,0.5769,5.7308,326.8,ok
0.96,7,4,7,0.6222,5.8667,317.4,ok
0.96,8,4,7,0.6099,5.8297,267.5,ok
0.96,1,5,7,0.4648,5.9295,221.5,ok
0.96,2,5,7,0.2644,5.5289,266.2,ok
0.96,3,5,7,0.1410,5.2819,322.5,ok
0.96,4,5,7,0.3934,5.7868,239.7,ok
0.96,5,5,7,0.2529,5.5058,288.5,ok
0.96,6,5,7,0.2814,5.5628,324.7,ok
0.96,7,5,7,0.2325,5.4649,311.9,ok
0.96,8,5,7,0.4048,5.8096,264.4,ok
0.96,1,6,7,0.2739,6.2739,220.7,ok
0.96,2,6,7,0.1573,6.1573,268.8,ok
0.96,3,6,7,0.0528,6.0528,318.4,ok
0.96,4,6,7,0.3169,6.3169,247.8,ok
0.96,5,6,7,0.0811,6.0811,299.7,ok
0.96,6,6,7,0.2345,6.2345,323.5,ok
0.96,7,6,7,0.0970,6.0970,311.0,ok
0.96,8,6,7,0.0906,6.0906,263.9,ok
0.96,1,7,10,0.2651,7.7953,221.7,ok
0.96,2,7,10,0.1089,7.3268,267.7,ok
0.96,3,7,10,0.0881,7.2644,321.6,ok
0.96,4,7,10,0.2298,7.6895,241.1,ok
0.96,5,7,10,0.1935,7.5806,294.9,ok
0.96,6,7,10,0.3075,7.9225,321.2,ok
0.96,7,7,10,0.1542,7.4625,304.9,ok
0.96,8,7,10,0.2691,7.8072,266.4,ok
0.96,1,7,12,0.2050,8.0252,218.0,ok
0.96,2,7,12,0.1355,7.6776,263.8,ok
0.96,3,7,12,0.0729,7.3644,316.7,ok
0.96,4,7,12,0.1642,7.8210,245.0,ok
0.96,5,7,12,0.1725,7.8625,288.4,ok
0.96,6,7,12,0.3174,8.5871,319.5,ok
0.96,7,7,12,0.2096,8.0478,312.0,ok
0.96,8,7,12,0.3234,8.6170,265.0,ok
0.96,1,7,1,-0.0000,7.0000,218.8,ok
0.96,2,7,1,-0.0000,7.0000,266.9,ok
0.96,3,7,1,0.0308,6.8153,323.7,ok
0.96,4,7,1,0.0081,6.9511,245.6,ok
0.96,5,7,1,-0.0000,7.0000,286.9,ok
0.96,6,7,1,-0.0000,7.0000,324.9,ok
0.96,7,7,1,0.0032,6.9810,318.1,ok
0.96,8,7,1,-0.0000,7.0000,266.7,ok
0.96,1,7,4,0.1912,6.4264,220.4,ok
0.96,2,7,4,0.1038,6.6886,260.1,ok
0.96,3,7,4,0.1111,6.6667,323.7,ok
0.96,4,7,4,0.1362,6.5914,242.2,ok
0.96,5,7,4,0.1067,6.6798,290.5,ok
0.96,6,7,4,0.0990,6.7029,323.3,ok
0.96,7,7,4,0.1426,6.5721,308.4,ok
0.96,8,7,4,0.1496,6.5511,269.5,ok
0.96,1,7,5,0.1934,6.6131,223.0,ok
0.96,2,7,5,0.1275,6.7450,267.0,ok
0.96,3,7,5,0.1256,6.7487,326.2,ok
0.96,4,7,5,0.1279,6.7443,237.8,ok
0.96,5,7,5,0.1259,6.7482,293.8,ok
0.96,6,7,5,0.1077,6.7846,317.1,ok
0.96,7,7,5,0.0756,6.8489,317.9,ok
0.96,8,7,5,0.1136,6.7728,265.8,ok
0.96,1,7,6,0.1047,6.8953,217.9,ok
0.96,2,7,6,0.0840,6.9160,262.0,ok
0.96,3,7,6,0.0862,6.9138,317.7,ok
0.96,4,7,6,0.0966,6.9034,243.5,ok
0.96,5,7,6,0.0870,6.9130,284.7,ok
0.96,6,7,6,0.0915,6.9085,317.4,ok
0.96,7,7,6,0.1016,6.8984,313.4,ok
0.96,8,7,6,0.1037,6.8963,265.0,ok
0.96,1,7,8,0.2143,7.2143,219.8,ok
0.96,2,7,8,0.1073,7.1073,263.6,ok
0.96,3,7,8,0.0667,7.0667,314.8,ok
0.96,4,7,8,0.0981,7.0981,241.0,ok
0.96,5,7,8,0.2220,7.2220,291.5,ok
0.96,6,7,8,0.0747,7.0747,322.8,ok
0.96,7,7,8,0.0566,7.0566,304.1,ok
0.96,8,7,8,0.0505,7.0505,266.6,ok
0.96,1,7,9,0.1937,7.3874,218.2,ok
0.96,2,7,9,0.1310,7.2620,257.6,ok
0.96,3,7,9,0.1093,7.2186,319.9,ok
0.96,4,7,9,0.3443,7.6886,239.3,ok
0.96,5,7,9,0.1218,7.2435,296.2,ok
0.96,6,7,9,0.2612,7.5225,318.4,ok
0.96,7,7,9,0.0610,7.1221,303.6,ok
0.96,8,7,9,0.2834,7.5669,266.5,ok
0.96,1,8,7,0.1876,7.8124,219.7,ok
0.96,2,8,7,0.1806,7.8194,262.9,ok
0.96,3,8,7,0.1638,7.8362,314.6,ok
0.96,4,8,7,0.1329,7.8671,237.1,ok
0.96,5,8,7,0.1579,7.8421,290.2,ok
0.96,6,8,7,0.1025,7.8975,321.5,ok
0.96,7,8,7,0.0897,7.9103,317.0,ok
0.96,8,8,7,0.1439,7.8561,266.9,ok
0.96,1,9,7,0.5085,7.9830,214.6,ok
0.96,2,9,7,0.2891,8.4219,265.4,ok
0.96,3,9,7,0.3180,8.3640,319.8,ok
0.96,4,9,7,0.4489,8.1021,243.1,ok
0.96,5,9,7,0.3600,8.2800,289.7,ok
0.96,6,9,7,0.2905,8.4191,318.7,ok
0.96,7,9,7,0.3251,8.3497,306.3,ok
0.96,8,9,7,0.3661,8.2678,266.5,ok
