variante,desconto,horizonte,seed,k,n,cens,nP,nA,pred_m,real_m,vies,rmse,corr,fprem,viesP,rmseP,maxabsP,fvies,frmse,fcorr
uni,0.80,8,4,1,614082,400,13856,614282,0.114567,0.350448,-0.235881,0.276410,0.1032,0.0226,0.016130,0.037496,0.54236310720443726,0.066001,0.113312,0.7334
uni,0.80,8,4,2,613637,600,3098,613837,0.103561,0.350398,-0.246836,0.283653,0.1476,0.0050,0.001884,0.014543,0.15288789570331573,-0.042665,0.076100,0.7891
uni,0.80,8,4,3,613192,800,915,613392,0.099657,0.350380,-0.250723,0.287148,0.1341,0.0015,-0.002895,0.008341,0.047781318426132202,-0.063579,0.121891,0.4276
uni,0.80,8,4,4,612747,1000,371,612947,0.098206,0.350358,-0.252152,0.288053,0.1477,0.0006,-0.004938,0.007423,0.033152908086776733,-0.122184,0.164020,0.4676
uni,0.80,8,4,5,612302,1200,139,612502,0.097638,0.350339,-0.252702,0.288819,0.1328,0.0002,-0.005455,0.007154,0.02099098265171051,-0.107103,0.179537,0.2066
uni,0.80,8,4,6,611857,1400,59,612057,0.097402,0.350312,-0.252910,0.288830,0.1401,0.0001,-0.005949,0.007533,0.018580138683319092,-0.130633,0.191773,0.3109
uni,0.80,8,4,7,611412,1600,27,611612,0.097299,0.350289,-0.252991,0.289182,0.1259,0.0000,-0.006978,0.007918,0.016405493021011353,-0.111642,0.191557,0.1909
uni,0.80,8,5,0,741564,158,715681,0,0.276069,0.349861,-0.073792,0.131830,0.6956,0.9651,-0.080060,0.129962,1.4285714030265808,-9.000000,-9.000000,-9.0000
uni,0.80,8,5,1,741102,316,23626,741260,0.125282,0.349830,-0.224548,0.271877,0.0995,0.0319,0.011839,0.040585,0.64089888334274292,0.079173,0.126643,0.7146
uni,0.80,8,5,2,740640,474,6736,740798,0.113231,0.349799,-0.236568,0.279709,0.1430,0.0091,-0.002487,0.023485,0.53949622809886932,-0.038640,0.080592,0.7539
uni,0.80,8,5,3,740178,632,2648,740336,0.108898,0.349784,-0.240886,0.283493,0.1305,0.0036,-0.007689,0.016388,0.29673926532268524,-0.055367,0.127343,0.3741
uni,0.80,8,5,4,739716,790,1380,739874,0.107259,0.349764,-0.242505,0.284619,0.1393,0.0019,-0.008893,0.012885,0.052059575915336609,-0.115563,0.167559,0.3851
uni,0.80,8,5,5,739254,948,802,739412,0.106603,0.349746,-0.243143,0.285432,0.1255,0.0011,-0.009669,0.012553,0.043911248445510864,-0.094658,0.181131,0.1889
uni,0.80,8,5,6,738792,1106,503,738950,0.106325,0.349720,-0.243396,0.285560,0.1286,0.0007,-0.009892,0.012383,0.038440227508544922,-0.118024,0.191407,0.2741
uni,0.80,8,5,7,738330,1264,330,738488,0.106199,0.349705,-0.243506,0.285909,0.1165,0.0004,-0.009935,0.012296,0.034766823053359985,-0.097692,0.190073,0.2038
uni,0.80,8,6,0,814293,390,771870,0,0.263481,0.349712,-0.086231,0.147195,0.6567,0.9479,-0.095595,0.145921,1.5,-9.000000,-9.000000,-9.0000
uni,0.80,8,6,1,813573,780,46179,813963,0.136729,0.349625,-0.212896,0.265746,0.1114,0.0568,0.000465,0.045179,0.99772578477859497,0.095385,0.143176,0.7355
uni,0.80,8,6,2,812853,1170,19100,813243,0.125591,0.349577,-0.223987,0.272526,0.1492,0.0235,-0.009393,0.027441,0.5556199848651886,-0.029257,0.088562,0.7375
uni,0.80,8,6,3,812133,1560,10446,812523,0.121555,0.349551,-0.227995,0.276054,0.1352,0.0129,-0.011713,0.018957,0.17379932105541229,-0.029291,0.132407,0.3772
uni,0.80,8,6,4,811413,1950,6836,811803,0.120020,0.349514,-0.229494,0.276983,0.1452,0.0084,-0.010958,0.014965,0.078708834946155548,-0.091993,0.162515,0.3893
uni,0.80,8,6,5,810694,2340,4843,811084,0.119401,0.349475,-0.230074,0.277796,0.1309,0.0060,-0.010446,0.013354,0.068939074873924255,-0.062153,0.175115,0.2181
uni,0.80,8,6,6,809975,2730,3670,810365,0.119139,0.349451,-0.230312,0.277839,0.1364,0.0045,-0.009739,0.012082,0.061592221260070801,-0.095244,0.184522,0.3019
