desconto,horizonte,seed,pop,energia,comida_total,modelo,hor_m,desc_m
0.80,10,1,225.4933,5.7964,330.1373,0.5765,10.0000,0.8000
0.80,10,2,268.3367,5.3420,346.6983,0.5979,10.0000,0.8000
0.80,10,3,319.0067,5.2071,363.4043,0.5922,10.0000,0.8000
0.80,10,4,248.7633,6.2929,340.4360,0.5835,10.0000,0.8000
0.80,10,5,296.3800,5.7502,356.7123,0.5957,10.0000,0.8000
0.80,10,6,321.4467,5.5076,363.8423,0.6095,10.0000,0.8000
0.80,10,7,314.7467,5.4662,358.7987,0.6104,10.0000,0.8000
0.80,10,8,270.5900,5.4291,345.4930,0.5974,10.0000,0.8000
0.80,11,1,221.6067,5.7527,334.2613,0.5734,11.0000,0.8000
0.80,11,2,270.2233,5.5480,346.3723,0.5951,11.0000,0.8000
0.80,11,3,319.8467,5.3925,364.4243,0.5920,11.0000,0.8000
0.80,11,4,244.8267,5.8614,345.4897,0.5764,11.0000,0.8000
0.80,11,5,297.9567,5.7602,355.1947,0.5929,11.0000,0.8000
0.80,11,6,322.9500,5.7770,363.1403,0.6109,11.0000,0.8000
0.80,11,7,313.3167,5.9940,360.9707,0.6091,11.0000,0.8000
0.80,11,8,268.4233,5.8560,346.2427,0.5931,11.0000,0.8000
0.80,12,1,222.4733,5.5818,334.1833,0.5726,12.0000,0.8000
0.80,12,2,271.0000,6.0287,345.2730,0.5973,12.0000,0.8000
0.80,12,3,320.8467,5.4327,364.4963,0.5877,12.0000,0.8000
0.80,12,4,244.7433,5.6773,346.2587,0.5750,12.0000,0.8000
0.80,12,5,297.9700,5.9547,356.1687,0.5904,12.0000,0.8000
0.80,12,6,325.3367,5.3826,362.3067,0.6096,12.0000,0.8000
0.80,12,7,320.5133,5.6558,356.1370,0.6102,12.0000,0.8000
0.80,12,8,270.8000,5.4553,347.4813,0.5950,12.0000,0.8000
0.90,1,1,227.7367,5.7455,310.0917,0.9366,1.0000,0.9000
0.90,1,2,273.1233,5.9859,321.2400,0.9167,1.0000,0.9000
0.90,1,3,324.3967,5.2767,352.7150,0.9063,1.0000,0.9000
0.90,1,4,249.6400,6.0040,325.0803,0.9367,1.0000,0.9000
0.90,1,5,298.8200,5.6799,338.7477,0.9120,1.0000,0.9000
0.90,1,6,329.2267,6.1489,341.1060,0.8938,1.0000,0.9000
0.90,1,7,317.8933,5.9007,339.0887,0.8972,1.0000,0.9000
0.90,1,8,273.7200,6.0565,321.9623,0.9200,1.0000,0.9000
0.90,2,1,227.5700,5.4651,309.8780,0.7400,2.0000,0.9000
0.90,2,2,273.2633,5.9190,319.2233,0.7393,2.0000,0.9000
0.90,2,3,326.0933,5.2018,347.1120,0.7390,2.0000,0.9000
0.90,2,4,249.6700,6.1399,323.0347,0.7404,2.0000,0.9000
0.90,2,5,299.2700,5.2292,334.5370,0.7385,2.0000,0.9000
0.90,2,6,328.5200,5.7074,339.0577,0.7390,2.0000,0.9000
0.90,2,7,319.1733,5.4304,335.5320,0.7376,2.0000,0.9000
0.90,2,8,272.0000,5.6611,321.6370,0.7382,2.0000,0.9000
0.90,3,1,224.3267,5.6297,317.0627,0.6622,3.0000,0.9000
0.90,3,2,271.1900,5.5932,326.7803,0.6680,3.0000,0.9000
0.90,3,3,324.1567,4.9128,349.8407,0.6677,3.0000,0.9000
0.90,3,4,247.0567,5.4848,328.8430,0.6614,3.0000,0.9000
0.90,3,5,297.3367,5.2780,342.2310,0.6674,3.0000,0.9000
0.90,3,6,327.1200,5.1825,344.4900,0.6760,3.0000,0.9000
0.90,3,7,318.1100,5.3979,341.6617,0.6765,3.0000,0.9000
0.90,3,8,274.7033,5.1111,324.7797,0.6697,3.0000,0.9000
0.90,4,1,222.1133,5.5037,324.5890,0.6164,4.0000,0.9000
0.90,4,2,272.6133,5.5704,330.3840,0.6320,4.0000,0.9000
0.90,4,3,324.0067,4.8666,353.0560,0.6313,4.0000,0.9000
0.90,4,4,245.7400,5.9810,336.5053,0.6208,4.0000,0.9000
0.90,4,5,299.2700,5.3900,344.7920,0.6313,4.0000,0.9000
0.90,4,6,327.7633,5.2006,349.8900,0.6445,4.0000,0.9000
0.90,4,7,315.2800,4.9646,348.7457,0.6424,4.0000,0.9000
0.90,4,8,275.0800,4.9669,330.6310,0.6334,4.0000,0.9000
0.90,5,1,222.7100,5.8734,327.7557,0.5910,5.0000,0.9000
0.90,5,2,269.4100,5.3294,340.3563,0.6109,5.0000,0.9000
0.90,5,3,326.4133,5.2320,356.5023,0.6073,5.0000,0.9000
0.90,5,4,245.4167,5.3030,341.8670,0.5937,5.0000,0.9000
0.90,5,5,298.3600,5.4908,351.6180,0.6097,5.0000,0.9000
0.90,5,6,325.9100,5.3647,357.0507,0.6262,5.0000,0.9000
0.90,5,7,316.7233,4.9946,355.2803,0.6236,5.0000,0.9000
0.90,5,8,270.2233,5.2018,342.6073,0.6132,5.0000,0.9000
0.90,6,1,220.7767,5.4798,337.9943,0.5770,6.0000,0.9000
0.90,6,2,263.2067,5.9455,354.0807,0.5960,6.0000,0.9000
0.90,6,3,319.8033,5.9400,365.1623,0.5899,6.0000,0.9000
0.90,6,4,247.1433,5.3351,344.4887,0.5790,6.0000,0.9000
0.90,6,5,292.2467,5.9341,361.1733,0.5944,6.0000,0.9000
0.90,6,6,327.2367,5.6098,359.9000,0.6139,6.0000,0.9000
0.90,6,7,312.3967,5.7593,361.0463,0.6085,6.0000,0.9000
0.90,6,8,269.9100,5.0609,349.4960,0.5979,6.0000,0.9000
0.90,7,1,223.4200,6.0122,337.5407,0.5629,7.0000,0.9000
0.90,7,2,270.5167,6.4731,349.3553,0.5888,7.0000,0.9000
0.90,7,3,325.7533,5.5951,364.1463,0.5817,7.0000,0.9000
0.90,7,4,244.3800,6.3993,350.3150,0.5634,7.0000,0.9000
0.90,7,5,300.8633,6.0903,358.1270,0.5855,7.0000,0.9000
0.90,7,6,326.8933,5.9993,365.2547,0.6046,7.0000,0.9000
0.90,7,7,318.5867,5.8580,363.8660,0.6042,7.0000,0.9000
0.90,7,8,266.9067,5.9799,354.1180,0.5854,7.0000,0.9000
0.90,8,1,219.1933,6.8062,345.6620,0.5538,8.0000,0.9000
0.90,8,2,262.6933,5.8726,362.9467,0.5798,8.0000,0.9000
0.90,8,3,320.8533,5.9141,370.6380,0.5712,8.0000,0.9000
0.90,8,4,249.4233,6.9514,349.7893,0.5605,8.0000,0.9000
0.90,8,5,293.8200,5.5610,368.4367,0.5778,8.0000,0.9000
0.90,8,6,319.4733,6.4358,376.3110,0.5964,8.0000,0.9000
0.90,8,7,308.7933,6.5894,371.5857,0.5897,8.0000,0.9000
0.90,8,8,269.7300,6.3963,357.9370,0.5815,8.0000,0.9000
0.90,9,1,225.1100,6.5631,342.9637,0.5527,9.0000,0.9000
0.90,9,2,261.6033,6.9420,364.9730,0.5767,9.0000,0.9000
0.90,9,3,318.4167,7.3718,375.8630,0.5650,9.0000,0.9000
0.90,9,4,245.9600,7.2780,358.1050,0.5498,9.0000,0.9000
0.90,9,5,292.1200,6.3735,373.1943,0.5731,9.0000,0.9000
0.90,9,6,324.2933,6.3528,374.9023,0.5940,9.0000,0.9000
0.90,9,7,307.0667,6.9261,377.8090,0.5852,9.0000,0.9000
0.90,9,8,267.6700,6.4798,364.2117,0.5780,9.0000,0.9000
0.90,10,1,220.7033,6.3752,353.3587,0.5441,10.0000,0.9000
0.90,10,2,265.0800,7.0430,366.9067,0.5718,10.0000,0.9000
0.90,10,3,322.1067,6.5291,374.2567,0.5620,10.0000,0.9000
0.90,10,4,243.2333,6.3234,364.7513,0.5530,10.0000,0.9000
0.90,10,5,295.0633,6.9342,372.9897,0.5657,10.0000,0.9000
0.90,10,6,319.3600,6.7347,382.6727,0.5851,10.0000,0.9000
0.90,10,7,303.7633,6.9911,384.4790,0.5838,10.0000,0.9000
0.90,10,8,267.6333,6.5235,369.2040,0.5739,10.0000,0.9000
0.90,11,1,219.8700,6.9042,353.5170,0.5396,11.0000,0.9000
0.90,11,2,258.3100,7.0136,377.2003,0.5682,11.0000,0.9000
0.90,11,3,319.7533,7.0327,379.1700,0.5567,11.0000,0.9000
0.90,11,4,240.8067,7.1381,367.9083,0.5438,11.0000,0.9000
0.90,11,5,287.4233,7.1450,383.1570,0.5583,11.0000,0.9000
0.90,11,6,320.4767,6.6680,386.4593,0.5865,11.0000,0.9000
0.90,11,7,310.4467,6.9771,382.4570,0.5830,11.0000,0.9000
0.90,11,8,267.8867,6.5649,373.7207,0.5714,11.0000,0.9000
0.90,12,1,218.5300,6.8910,358.7093,0.5377,12.0000,0.9000
0.90,12,2,263.0133,7.0146,374.7167,0.5692,12.0000,0.9000
0.90,12,3,322.8900,6.6213,378.4620,0.5543,12.0000,0.9000
0.90,12,4,241.5400,7.3347,372.2940,0.5398,12.0000,0.9000
0.90,12,5,291.9033,6.7549,381.5587,0.5584,12.0000,0.9000
0.90,12,6,319.2733,6.8118,387.6650,0.5839,12.0000,0.9000
0.90,12,7,312.2833,7.0515,382.2880,0.5802,12.0000,0.9000
0.90,12,8,265.8833,6.8219,376.0473,0.5651,12.0000,0.9000
0.95,1,1,227.7367,5.7455,310.0917,0.9366,1.0000,0.9500
0.95,1,2,273.1233,5.9859,321.2400,0.9167,1.0000,0.9500
